model,outer_repeat,outer_fold,n_test,events_test,AUC,AUPRC,Brier,Log loss,Calibration intercept,Calibration slope
elastic_net,10,5,36,10,0.6846153846153846,0.4061571141277024,0.19475151325951762,0.5688089360079087,-0.06539037556580955,0.8819807980249381
lasso,1,1,37,11,0.7587412587412588,0.6046428680467276,0.18469267653395435,0.5448630093915536,0.4079518310234441,1.1720079105917274
lasso,1,2,36,11,0.7018181818181818,0.6377049227861922,0.18527726691229846,0.5502231839984169,-0.2447751751693623,0.7250181262819623
lasso,1,3,36,10,0.8192307692307692,0.7313966342187757,0.14691789153078552,0.45938453467997675,0.16239977121026777,1.606865383112084
lasso,1,4,36,10,0.45769230769230773,0.3448549914256436,0.21874546653542815,0.6394870449890785,-0.8215441812049085,0.12875307354061652
lasso,1,5,36,10,0.5,0.2777777777777778,0.2007305719132327,0.5911203101164524,-0.028887830948126372,1.0260882866664196
lasso,2,1,37,11,0.4895104895104895,0.40546569063064664,0.23470276664652195,0.72220301004464,-0.82836065714928,0.023639826891529617
lasso,2,2,36,11,0.7054545454545454,0.5542701458100876,0.18978241811294486,0.5499534277466579,0.045952755515174096,0.9983941494727251
lasso,2,3,36,10,0.7730769230769231,0.6655285455285455,0.1633385343459386,0.5001424757500668,0.4816839716485675,1.8902351795600933
lasso,2,4,36,10,0.6653846153846154,0.3967226890756302,0.1977573098896232,0.5728873412567433,-0.39500418071939675,0.6566974287004759
lasso,2,5,36,10,0.7884615384615384,0.6617870843989769,0.15796692061265014,0.47815434499392256,0.3693109420388175,1.4780976420297987
lasso,3,1,37,11,0.7132867132867133,0.5056207857582529,0.18713701028190868,0.5496185586107952,0.10785494998969547,1.08435894005282
lasso,3,2,36,11,0.5636363636363636,0.3483893307493082,0.21666391799489718,0.6309014857383298,-0.5694556654358129,0.2434341057997019
lasso,3,3,36,10,0.6384615384615385,0.4292795798542702,0.19813347103509898,0.5937131595250673,-0.45843227737519626,0.47174631343885826
lasso,3,4,36,10,0.8153846153846154,0.7110372960372959,0.15430194186786506,0.47394283127506664,0.5337783437798842,1.7602373616278193
lasso,3,5,36,10,0.6807692307692308,0.6124420677361854,0.1918859558090569,0.572009879074601,-0.5112532595263108,0.5873997038561721
lasso,4,1,37,11,0.6643356643356644,0.5065869701985855,0.1953985294545932,0.5682520828378789,-0.08851818223012427,0.9509422400798084
lasso,4,2,36,11,0.6363636363636364,0.542917798056138,0.19860509883468405,0.5988561262447721,-0.22626360290266254,0.6027646565240192
lasso,4,3,36,10,0.5961538461538461,0.3244409430438842,0.23665851359595477,0.6573246923398944,-0.7721299460874187,0.22163329608948976
lasso,4,4,36,10,0.7192307692307692,0.6246956123586558,0.16363185151500378,0.5088988536225386,0.3541155438510771,1.32382005485407
lasso,4,5,36,10,0.5576923076923077,0.40036161302465645,0.2135105467808903,0.6399374812746309,-0.5751628201028082,0.2694855748397789
lasso,5,1,37,11,0.7307692307692307,0.6426173017416333,0.16918744123629595,0.5167104793733995,0.2403399124471789,1.1124367191311617
lasso,5,2,36,11,0.8109090909090909,0.5797011069738343,0.1791698415791825,0.5229976946291737,1.143334005026641,1.9935266423224516
lasso,5,3,36,10,0.5615384615384615,0.313908510571554,0.20896068019875363,0.5940058662454244,-0.47641025784819724,0.4539774821392475
lasso,5,4,36,10,0.7346153846153846,0.5377728858688611,0.1803643308002129,0.5450140644249001,-0.38840138490193277,0.8820892042494933
lasso,5,5,36,10,0.6692307692307693,0.6184218147336588,0.18428214064065668,0.5541797002285542,-0.3597215452689902,0.694280543687914
lasso,6,1,37,11,0.7237762237762237,0.5319302568314426,0.18868551174997034,0.5540288257953137,0.8878296473982744,1.4131703700631195
lasso,6,2,36,11,0.7454545454545454,0.6446958625347372,0.1740101930413105,0.5230105778510312,-0.08911922022107285,1.382879389612252
lasso,6,3,36,10,0.6153846153846154,0.38438350778908054,0.20763094131648055,0.6149307912179953,-0.5833609872686982,0.3528914530184622
lasso,6,4,36,10,0.5153846153846153,0.31942246970472776,0.2368482093048906,0.6759067132159176,-0.8539467554124693,0.10900433227524937
lasso,6,5,36,10,0.6307692307692307,0.4172046019947069,0.203117143271912,0.5825492309251542,-0.3470409461370944,0.539745040742668
lasso,7,1,37,11,0.4895104895104895,0.3925880504528263,0.20809897273513717,0.6064004517004448,0.4027881710996403,1.401201590193321
lasso,7,2,36,11,0.5672727272727273,0.4832948394890686,0.21420580872609618,0.6326886199256729,-0.35640504127951433,0.41676322294529605
lasso,7,3,36,10,0.5807692307692308,0.46102483481430845,0.19822883602331237,0.5895293299229017,-0.3635367205991496,0.5071456788909119
lasso,7,4,36,10,0.8346153846153846,0.7079030969030968,0.14173159897605583,0.4470456088877326,0.9274687297655798,2.1637799053621394
lasso,7,5,36,10,0.5884615384615385,0.3678583789293171,0.20737365784934964,0.59501415581611,-0.5521169596630653,0.48068589273629836
lasso,8,1,37,11,0.6783216783216783,0.4644449142320092,0.1926515626215353,0.5663933850080529,-0.1903287388627212,0.8419857521271883
lasso,8,2,36,11,0.509090909090909,0.47242220001837043,0.2230841294753729,0.667250797364378,-0.6042672446112551,0.20255570173500898
lasso,8,3,36,10,0.7,0.5571372213070506,0.17809443935999186,0.5321829869640688,-0.1717559482564816,0.838036191764152
lasso,8,4,36,10,0.7538461538461538,0.5175324866704177,0.17985853856891648,0.5352535011059945,0.2974832857222094,1.115070300633262
lasso,8,5,36,10,0.5423076923076924,0.37453688812047947,0.20675139424382333,0.6071083507109755,-0.6696068548543811,0.32796887724155666
lasso,9,1,37,11,0.6958041958041958,0.45888384675986194,0.19928101787937735,0.5721568993304775,-0.12385622229950341,0.6312757930961456
lasso,9,2,36,11,0.7345454545454545,0.5849404855713365,0.18311238861996262,0.5422942828429794,0.3765914520966541,1.3591785292930154
lasso,9,3,36,10,0.49230769230769234,0.3705253686944863,0.20654948979162244,0.6115096435055738,-0.822753057488228,0.13090008430083555
lasso,9,4,36,10,0.6576923076923078,0.5120406732117811,0.18723621948267288,0.5600842131858224,-0.22518648774552674,0.712610722854749
lasso,9,5,36,10,0.75,0.5697039519620164,0.1690875051583973,0.5130868380693185,-0.24636205813829948,1.0760817576914234
lasso,10,1,37,11,0.7902097902097902,0.6995495758614201,0.16657072428241537,0.5033738137329268,0.5315104117613328,1.5406778541119623
lasso,10,2,36,11,0.8072727272727273,0.7310638435638436,0.15687479639795393,0.47914008585028295,0.6042412547766449,1.488782774259488
lasso,10,3,36,10,0.6346153846153846,0.36751849409172066,0.19448273302157984,0.5715529616886201,-0.13707644734086818,1.0365318441832478
lasso,10,4,36,10,0.5461538461538461,0.3826076300609408,0.22065157516941764,0.6472166078157368,-0.757012709872693,0.19832768970282463
lasso,10,5,36,10,0.6923076923076923,0.4200493031872342,0.19413260519083664,0.5653677776189738,-0.11251803397294646,0.8042430131437788
ridge,1,1,37,11,0.7447552447552448,0.5965834818775996,0.18462813800871858,0.5457213230380888,0.3985762204271303,1.1487084109700234
ridge,1,2,36,11,0.6981818181818181,0.6422540773353467,0.18329621324641632,0.5482637543263882,-0.17540825880833547,0.7953940811734057
ridge,1,3,36,10,0.8307692307692308,0.7601845130066545,0.15013458901289703,0.46759148320985283,0.3768111820381613,1.869592323352963
ridge,1,4,36,10,0.4807692307692308,0.34527399802449565,0.21517706330760206,0.6260862005475487,-0.7479717978231961,0.20775733070029587
ridge,1,5,36,10,0.7615384615384615,0.5446859903381642,0.17853350556340145,0.5355408213247506,1.230961759534884,2.698092342418345
ridge,2,1,37,11,0.5244755244755245,0.4459904519288684,0.2185522889725399,0.6511609757695627,-0.6187812240084059,0.20192691636665444
ridge,2,2,36,11,0.7418181818181818,0.5657726331639376,0.18925519302041371,0.5552570661179161,0.6373837222107865,1.6360685139818774
ridge,2,3,36,10,0.7730769230769231,0.7143549783549783,0.16894071464680357,0.5170666411323522,1.0800194965144903,2.661063559012581
ridge,2,4,36,10,0.6807692307692308,0.4040567765567765,0.1905070621300297,0.5587314792745135,-0.1843628066467362,0.927195958746944
ridge,2,5,36,10,0.8076923076923077,0.671387272857861,0.1569102684968092,0.4731216562518115,0.31926729832481443,1.4300312166517521
ridge,3,1,37,11,0.7447552447552448,0.569108610091461,0.18467193333403215,0.5446761668375588,0.3416514228752632,1.3902150217734013
