outer_repeat,outer_fold,model,C,l1_ratio,mean_inner_log_loss,se_inner_log_loss,mean_n_selected
1,3,ridge,10.0,,0.5672957589836084,0.03436804291860787,10.0
1,3,ridge,0.02,,0.5786509048617292,0.010188120960383337,10.0
1,3,ridge,0.01,,0.5875104598652345,0.008437038999283861,10.0
1,3,ridge,0.005,,0.593797471251514,0.007737094951461551,10.0
1,3,ridge,0.002,,0.5985276627610929,0.007565857544702313,10.0
1,3,ridge,0.001,,0.60031747271433,0.0075867177299023016,10.0
1,3,elastic_net,0.5,0.2,0.5558180032524969,0.02568510373416463,9.2
1,3,elastic_net,1.0,0.5,0.5578561523406632,0.027701989534345557,8.8
1,3,elastic_net,1.0,0.8,0.5580897818466,0.026431788052429666,8.6
1,3,elastic_net,0.5,0.5,0.5584236973561824,0.023807059350446923,8.6
1,3,elastic_net,1.0,0.2,0.5585823303002714,0.029237812128015,9.4
1,3,elastic_net,1.0,1.0,0.5591392288425342,0.025882974277111757,8.4
1,3,elastic_net,2.0,1.0,0.5600752135767,0.029468056819776094,9.0
1,3,elastic_net,0.2,0.2,0.5603342832580986,0.020116888296484052,9.2
1,3,elastic_net,2.0,0.8,0.5604626532049691,0.03002483767594953,9.0
1,3,elastic_net,2.0,0.5,0.5611961736762519,0.030859415367771155,9.6
1,3,elastic_net,2.0,0.2,0.5620751250244015,0.03166538862339209,9.8
1,3,elastic_net,0.5,0.8,0.5640749881873935,0.02244067876562856,8.2
1,3,elastic_net,5.0,1.0,0.5643520036740395,0.03268761848384779,9.6
1,3,elastic_net,5.0,0.8,0.5646424718821768,0.03290112349970718,9.8
1,3,elastic_net,5.0,0.5,0.5650942962301557,0.033217851777130235,9.8
1,3,elastic_net,5.0,0.2,0.5655422454436867,0.03352233052970965,10.0
1,3,elastic_net,10.0,1.0,0.5664724771827545,0.033881433237407506,9.8
1,3,elastic_net,10.0,0.8,0.5666338939919175,0.03398391483506264,9.8
1,3,elastic_net,10.0,0.5,0.5668473274279091,0.03412218202807041,10.0
1,3,elastic_net,10.0,0.2,0.5670644724026449,0.03425992401561469,10.0
1,3,elastic_net,0.5,1.0,0.5691613113934335,0.02151093432332663,8.0
1,3,elastic_net,0.1,0.2,0.5761235762094538,0.015774132391594798,9.4
1,3,elastic_net,0.2,0.5,0.5790070540257919,0.017911574958088063,8.4
1,3,elastic_net,0.2,0.8,0.5923758246492581,0.01421967442113296,6.8
1,3,elastic_net,0.05,0.2,0.5945020414122808,0.01027125160826829,7.6
1,3,elastic_net,0.1,0.5,0.5999001332246137,0.011223357791819575,5.8
1,3,elastic_net,0.2,1.0,0.6004411123659634,0.012398998075903648,5.6
1,3,elastic_net,0.1,1.0,0.6026855086478988,0.007819175491766733,0.8
1,3,elastic_net,0.05,0.5,0.6027837461218855,0.007683665963517144,0.8
1,3,elastic_net,0.02,0.2,0.6028058644415386,0.0075634136535991285,0.8
1,3,elastic_net,0.05,0.8,0.6030096287111558,0.007056335581628571,0.0
1,3,elastic_net,0.05,1.0,0.6037252493412122,0.0066975271714491665,0.0
1,3,elastic_net,0.1,0.8,0.6040586634267908,0.009750788935092396,2.0
1,3,elastic_net,0.02,0.5,0.6070490751500899,0.006012020785781995,0.0
1,3,elastic_net,0.01,0.2,0.6072545157111991,0.005978421886200718,0.0
1,3,elastic_net,0.02,0.8,0.609726415377727,0.0064132541414649545,0.0
1,3,elastic_net,0.02,1.0,0.6110471550364215,0.005717125741943537,0.0
1,3,elastic_net,0.005,0.2,0.6120633253923884,0.006627950088803171,0.0
1,3,elastic_net,0.01,1.0,0.6131124213709496,0.004089668647945017,0.0
1,3,elastic_net,0.005,1.0,0.6149537878126857,0.00512195880006243,0.0
1,3,elastic_net,0.001,1.0,0.6149607723778497,0.005118820757982608,0.0
1,3,elastic_net,0.002,1.0,0.6149609525597529,0.005118783976302952,0.0
1,3,elastic_net,0.01,0.5,0.6205509456302635,0.0068484083788089714,0.0
1,3,elastic_net,0.01,0.8,0.6247105114275566,0.0029265127136196816,0.0
1,3,elastic_net,0.005,0.5,0.6254681944050271,0.0029007208045546476,0.0
1,3,elastic_net,0.005,0.8,0.6281206362859704,0.004074608731464902,0.0
1,3,elastic_net,0.002,0.2,0.62818994482514,0.0028730701989420973,0.0
1,3,elastic_net,0.002,0.8,0.6287389162545765,0.004024457171178886,0.0
1,3,elastic_net,0.001,0.8,0.6297372960516506,0.003950130217668189,0.0
1,3,elastic_net,0.002,0.5,0.6302243633488238,0.003915684784541461,0.0
1,3,elastic_net,0.001,0.5,0.6325864354417818,0.0037446184064753385,0.0
1,3,elastic_net,0.001,0.2,0.635224008852836,0.0035626343097379253,0.0
1,3,lasso,1.0,,0.5591392288425342,0.025882974277111757,8.4
1,3,lasso,2.0,,0.5600752135767,0.029468056819776094,9.0
1,3,lasso,5.0,,0.5643520036740395,0.03268761848384779,9.6
