bootstrap,C,apparent_AUC,test_AUC,optimism_AUC,apparent_AUPRC,test_AUPRC,optimism_AUPRC,apparent_Brier,test_Brier,optimism_Brier,apparent_Log loss,test_Log loss,optimism_Log loss
69,0.02,0.7242748091603054,0.6982707215265355,0.026004087633769934,0.5656107423151493,0.5005464893102433,0.06506425300490604,0.1793777627594931,0.18677962321226452,-0.007401860452771414,0.5391422483485909,0.556375165673794,-0.017232917325203045
70,0.1,0.7828571428571428,0.7447823494335122,0.038074793423630626,0.6717432693292289,0.5491334396721315,0.12260982965709744,0.16839116093635728,0.1760383717967917,-0.007647210860434406,0.5093346215285744,0.5288353292677774,-0.019500707739202983
71,0.05,0.7846320346320347,0.7564102564102564,0.028221778221778293,0.6395320042304014,0.5930866415128592,0.04644536271754218,0.16052815846076873,0.17146462527452572,-0.010936466813756984,0.49167243396298294,0.5173314669060618,-0.025659032943078863
72,0.05,0.8134328358208956,0.7279367918902803,0.08549604393061538,0.7024491293188904,0.5536565442348185,0.1487925850840719,0.14540213224185722,0.17678332597290589,-0.03138119373104867,0.4571114686619383,0.5306104721144667,-0.07349900345252836
73,0.05,0.807890499194847,0.7418008348240906,0.06608966437075636,0.6099716363759247,0.5739049626070966,0.036066673768828106,0.15302923859554524,0.1769510291481844,-0.023921790552639155,0.4697345708106569,0.5295546342155618,-0.05982006340490492
74,0.5,0.8248587570621468,0.7262969588550984,0.09856179820704847,0.7758891053071268,0.4974028534785581,0.27848625182856873,0.15606660812552317,0.19033198758208772,-0.03426537945656455,0.4754605898553422,0.6008536052257362,-0.125393015370394
75,0.05,0.7794068082237952,0.7197376267143709,0.05966918150942424,0.5601081495705541,0.5404019210839901,0.019706228486564004,0.15191622726815285,0.18321023969640693,-0.03129401242825408,0.46822963895498293,0.5447591342503438,-0.0765294952953609
76,0.5,0.8186725944744363,0.7523852116875372,0.06628738278689905,0.6401894219656081,0.6116935110215268,0.028495910944081326,0.14399302921479526,0.16784967143033913,-0.023856642215543872,0.436784365218334,0.5113463698859957,-0.07456200466766166
77,0.02,0.7722431077694236,0.7364341085271319,0.03580899924229175,0.5198190786893923,0.5321816031501984,-0.012362524460806101,0.17532903858571808,0.18549964268831615,-0.010170604102598069,0.5280746244448576,0.5516337744146897,-0.023559149969832105
78,0.1,0.7396413110698825,0.7228682170542635,0.016773094015618994,0.6271400008053873,0.543929285652237,0.08321071515315037,0.16226585939845867,0.17756002383775088,-0.015294164439292213,0.49690082104007166,0.53112355335998,-0.0342227323199083
79,0.002,0.7492629716981132,0.7373285629099583,0.011934408788154882,0.5533271053293668,0.5651235266354858,-0.01179642130611902,0.2031652844380072,0.20066215418540131,0.002503130252605873,0.5952537414077389,0.5898671632800929,0.00538657812764598
80,0.02,0.7620260328239954,0.7307692307692307,0.031256802054764665,0.6819939860000526,0.5975533188598533,0.08444066714019927,0.1846845293689434,0.18181136381125457,0.0028731655576888226,0.5526625517003748,0.5470991850097876,0.0055633666905872126
81,0.1,0.8474955277280859,0.7528324388789505,0.09466308884913543,0.7325919769709186,0.6008755313162719,0.13171644565464669,0.14371047023871322,0.16872848256230827,-0.025018012323595046,0.4423770613963578,0.5077811904577776,-0.06540412906141979
82,0.1,0.8194570135746606,0.7301729278473464,0.08928408572731417,0.6890932232745494,0.5739202505903925,0.11517297268415683,0.14922625065574235,0.17200231438662342,-0.022776063730881063,0.460993920457974,0.5195889686743573,-0.05859504821638334
83,0.01,0.7647058823529412,0.7097495527728086,0.054956329580132635,0.6414227813142015,0.5716833051718693,0.06973947614233222,0.18278953698418243,0.18977373067208458,-0.0069841936879021516,0.5479746652739679,0.5639477538381906,-0.015973088564222748
84,0.05,0.8389694041867956,0.7270423375074537,0.11192706667934182,0.6700139331474513,0.5786457950381868,0.09136813810926447,0.14539470514787772,0.17670263794874227,-0.03130793280086455,0.45122095121562084,0.5309169187244044,-0.07969596750878355
85,0.05,0.7937950937950938,0.7377757901013715,0.05601930369372232,0.6782231486885559,0.5929882080877431,0.08523494060081283,0.16889253147714736,0.17368418101211527,-0.004791649534967912,0.5111018738294772,0.5231912570520804,-0.012089383222603112
86,0.02,0.7485714285714286,0.6909660107334525,0.057605417837976014,0.6183343105270837,0.5322650549462548,0.0860692555808289,0.18558640753895134,0.18712332439895293,-0.001536916860001597,0.5500184185138787,0.5574428838906291,-0.007424465376750455
87,0.1,0.7497584541062802,0.7434406678592725,0.0063177862470076285,0.574064265499682,0.5875138689333828,-0.013449603433700719,0.158807308661377,0.17431132224333604,-0.015504013581959047,0.4864027091244607,0.5230847560241036,-0.03668204689964294
88,0.1,0.8179979777553082,0.734943351222421,0.0830546265328872,0.680686988525247,0.588573021065781,0.09211396745946598,0.13313098006381,0.17415383709697335,-0.04102285703316336,0.4232039583809128,0.5249912501869781,-0.10178729180606533
89,0.02,0.7706695581458389,0.7303220035778175,0.040347554568021415,0.6987944802048178,0.5820887602713083,0.11670571993350953,0.19078349377724085,0.18189639055970455,0.008887103217536302,0.5657017623816211,0.5471694259156739,0.018532336465947208
90,0.1,0.8277299249791609,0.7477638640429338,0.07996606093622705,0.7291228554278189,0.588904113425867,0.14021874200195183,0.15889190722199328,0.16974600258561015,-0.010854095363616867,0.48878866373616625,0.5123089138868443,-0.023520250150678046
91,0.05,0.7967275943396226,0.7610316040548599,0.03569599028476267,0.6160770712708015,0.5742478581016532,0.04182921316914823,0.16983258852105998,0.17383508365582262,-0.00400249513476264,0.5136712891785827,0.521919843707356,-0.008248554528773266
92,0.1,0.8008658008658008,0.7391174716756113,0.06174832919018958,0.6834435007019579,0.5991434708880361,0.08430002981392182,0.1487173839123289,0.17081229910695953,-0.022094915194630638,0.4617064711111144,0.5188114703062198,-0.057104999195105366
93,0.001,0.6649867374005305,0.7340488968395945,-0.06906215943906402,0.594077582461768,0.5724850598448781,0.02159252261688993,0.2281172366993714,0.2077313405371226,0.020385896162248784,0.6484896179658088,0.6065644187410857,0.04192519922472315
94,0.05,0.8127977135598603,0.7409063804412642,0.07189133311859608,0.6757392302674954,0.6161018067765707,0.05963742349092471,0.15014113507609647,0.17346714649504585,-0.023326011418949383,0.4647225844411499,0.5240188927349682,-0.05929630829381827
95,0.1,0.7668571428571428,0.7452295766249255,0.021627566232217288,0.6738960131790799,0.5880557761219576,0.08584023705712229,0.16955303616599965,0.17225748900548418,-0.0027044528394845335,0.5152002640445907,0.5198664797969512,-0.004666215752360481
96,0.01,0.7165912518853694,0.7003577817531307,0.016233470132238748,0.5161499429449637,0.4751846136157034,0.040965329329260336,0.18918110656870435,0.1937030846381142,-0.004521978069409849,0.5616255993025087,0.5718178805911489,-0.010192281288640248
97,0.1,0.8125541125541126,0.7364341085271318,0.07612000402698083,0.7041151352464868,0.5993175826826859,0.10479755256380097,0.15694681642755157,0.17378857266530642,-0.016841756237754857,0.47923846361219524,0.5197409027124855,-0.04050243910029028
98,0.1,0.8586762075134168,0.73479427549195,0.1238819320214668,0.7625435223415092,0.5905098584182589,0.17203366392325037,0.1358028983375987,0.1722133666684639,-0.0364104683308652,0.42836089445572517,0.5206250326022973,-0.09226413814657214
99,0.05,0.8145321831453218,0.7398628503279665,0.07466933281735533,0.6761577797520855,0.5939142799725842,0.0822434997795013,0.14360539048837762,0.17731354460372975,-0.033708154115352135,0.4511409749097278,0.5322488386434923,-0.08110786373376444
100,0.02,0.7911764705882354,0.7338998211091234,0.05727664947911193,0.6364747614121681,0.5659515288216367,0.07052323259053139,0.16012286475342044,0.184536697302392,-0.02441383254897156,0.492573145703944,0.54859898242966,-0.05602583672571598
101,0.2,0.821522309711286,0.7507453786523554,0.07077693105893068,0.7140851559793293,0.6018327376465997,0.11225241833272959,0.15222687932948017,0.16956848960854645,-0.017341610279066277,0.4661789129577085,0.5110195098901684,-0.0448405969324599
